side,page_index,row,col,label_name,last5,resolved_upc,resolved_name,cpp,image_status,image_mean,image_std
A,1,4,9,SUBWAY VGC REG,10779,019674210779,SUBWAY VGC MD,30,IMAGE_PRESENT,185.61,66.3
A,1,5,0,CHICK FIL A VGC REG,09410,019674209410,CHICK FIL A VGC MD,30,IMAGE_PRESENT,239.9,38.65
A,1,5,1,PANERA VGC REG,10584,019674210584,PANERA VGC MD,30,IMAGE_PRESENT,161.34,91.01
A,1,5,2,APPLEBEES VGC PROMO MD,10596,019674210596,APPLEBEES VGC PROMO MD,30,IMAGE_PRESENT,104.32,73.05
A,1,5,3,CHILI'S VGC REG,14781,019674214781,CHILI'S VGC REG,30,IMAGE_PRESENT,78.1,75.75
A,1,5,4,DARDEN UNIVERSAL VGC REG,16364,019674216364,DARDEN UNIVERSAL VGC REG,20,IMAGE_PRESENT,178.05,89.8
A,1,5,5,OLIVE GARDEN $25 MD,11469,019674211469,OLIVE GARDEN $25 MD,20,IMAGE_PRESENT,190.08,71.96
A,1,5,6,BLOOMIN BRANDS $50 REG,10453,019674210453,BLOOMIN BRANDS $50 MD,30,IMAGE_PRESENT,199.46,76.82
A,1,5,7,CRACKER BARREL VGC MD,10571,019674210571,CRACKER BARREL VGC MD,30,IMAGE_PRESENT,179.01,82.53
A,1,5,8,BUFFAL OWILD WINGS VGC REG,11244,019674211244,BUFFAL OWILD WINGS VGC MD,20,IMAGE_PRESENT,167.03,79.58
A,1,5,9,SUBWAY $15 REG,10776,019674210776,SUBWAY $15 REG,30,IMAGE_PRESENT,157.92,86.06
A,1,6,0,CHICK FIL A VGC REG,09410,019674209410,CHICK FIL A VGC MD,30,IMAGE_PRESENT,240.01,38.36
A,1,6,1,CHEESECAKEF ACTORYVGC REG,10994,019674210994,CHEESECAKEFACTORYVGC MD,20,IMAGE_PRESENT,188.96,70.37
A,1,6,2,APPLEBEES VGC PROMO MD,10596,019674210596,APPLEBEES VGC PROMO MD,30,IMAGE_PRESENT,122.53,75.22
A,1,6,3,CHILI'S $25 REG,14778,019674214778,CHILI'S $25 REG,30,IMAGE_PRESENT,79.31,75.98
A,1,6,4,DARDEN $25 MD,11474,019674211474,DARDEN $25 MD,20,IMAGE_PRESENT,187.17,88.15
A,1,6,5,OLIVE GARDEN $50 MD,11470,019674211470,OLIVE GARDEN $50 MD,20,IMAGE_PRESENT,199.54,64.79
A,1,6,6,OUTBACK VGC REG,10449,019674210449,OUTBACK VGC MD,30,IMAGE_PRESENT,173.44,87.91
A,1,6,7,CRACKER BARREL $25 REG,10569,019674210569,CRACKER BARREL $25 MD,30,IMAGE_PRESENT,156.77,85.84
A,1,6,8,IHOP VGC PROMO MD,10588,019674210588,IHOP VGC PROMO MD,30,IMAGE_PRESENT,172.99,77.35
A,1,6,9,SUBWAY $25 REG,10778,019674210778,SUBWAY $25 MD,30,IMAGE_PRESENT,155.64,70.58
A,1,7,0,POPEYE'S VGC $15- $250 REG,11026,019674211026,POPEYE'S VGC $15-$250 MD,30,IMAGE_PRESENT,224.6,49.62
A,1,7,1,COLD STONE MP MD HOLIDAY,10787,019674210787,COLD STONE MP MD HOLIDAY,10,IMAGE_PRESENT,162.7,78.78
A,1,7,2,ZAXBYS VGC S HOLIDAY,07303,019674207303,ZAXBYS VGC HOLIDAY,20,IMAGE_PRESENT,169.39,83.54
A,1,7,3,SONIC VGC REG,11251,019674211251,SONIC VGC MD,20,IMAGE_PRESENT,166.81,70.85
A,1,7,4,DARDEN $50 MD,11475,019674211475,DARDEN $50 MD,20,IMAGE_PRESENT,195.05,75.14
A,1,7,5,RED LOBSTER VGC REG,11150,019674211150,RED LOBSTER VGC MD,30,IMAGE_PRESENT,122.48,99.5
A,1,7,6,OUTBACK $50 REG,10452,019674210452,OUTBACK $50 MD,30,IMAGE_PRESENT,172.87,92.48
A,1,7,7,GOLDEN CORRAL VGC REG,10854,019674210854,GOLDEN CORRAL VGC MD,20,IMAGE_PRESENT,182.97,72.11
A,1,7,8,JIMMY JOHNS VGC REG,11248,019674211248,JIMMY JOHNS VGC MD,20,IMAGE_PRESENT,145.85,93.65
A,1,7,9,DOMINOS VGC REG,10624,019674210624,DOMINOS VGC MD,30,IMAGE_PRESENT,162.85,90.44
A,1,8,0,CHIPOTLE VGC REG,10648,019674210648,CHIPOTLE VGC MD,30,IMAGE_PRESENT,216.97,59.02
A,1,8,1,HARDEES VGC REG,11256,019674211256,HARDEES VGC MD,20,IMAGE_PRESENT,202.79,66.09
